rank,cbsa,name,core_name,state,population,vintage
1,35620,"New York-Newark-Jersey City, NY-NJ Metro Area",New York-Newark-Jersey City,NY-NJ,19940274,2024
2,31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",Los Angeles-Long Beach-Anaheim,CA,12927614,2024
3,16980,"Chicago-Naperville-Elgin, IL-IN Metro Area",Chicago-Naperville-Elgin,IL-IN,9408576,2024
4,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",Dallas-Fort Worth-Arlington,TX,8344032,2024
5,26420,"Houston-Pasadena-The Woodlands, TX Metro Area",Houston-Pasadena-The Woodlands,TX,7796182,2024
6,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",Miami-Fort Lauderdale-West Palm Beach,FL,6457988,2024
7,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area",Washington-Arlington-Alexandria,DC-VA-MD-WV,6436489,2024
8,12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",Atlanta-Sandy Springs-Roswell,GA,6411149,2024
9,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",Philadelphia-Camden-Wilmington,PA-NJ-DE-MD,6330422,2024
10,38060,"Phoenix-Mesa-Chandler, AZ Metro Area",Phoenix-Mesa-Chandler,AZ,5186958,2024
11,14460,"Boston-Cambridge-Newton, MA-NH Metro Area",Boston-Cambridge-Newton,MA-NH,5025517,2024
12,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",Riverside-San Bernardino-Ontario,CA,4744214,2024
13,41860,"San Francisco-Oakland-Fremont, CA Metro Area",San Francisco-Oakland-Fremont,CA,4648486,2024
14,19820,"Detroit-Warren-Dearborn, MI Metro Area",Detroit-Warren-Dearborn,MI,4400578,2024
15,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",Seattle-Tacoma-Bellevue,WA,4145494,2024
16,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",Minneapolis-St. Paul-Bloomington,MN-WI,3757952,2024
17,45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",Tampa-St. Petersburg-Clearwater,FL,3424560,2024
18,41740,"San Diego-Chula Vista-Carlsbad, CA Metro Area",San Diego-Chula Vista-Carlsbad,CA,3298799,2024
19,19740,"Denver-Aurora-Centennial, CO Metro Area",Denver-Aurora-Centennial,CO,3052498,2024
20,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",Orlando-Kissimmee-Sanford,FL,2940513,2024
21,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",Charlotte-Concord-Gastonia,NC-SC,2883370,2024
22,12580,"Baltimore-Columbia-Towson, MD Metro Area",Baltimore-Columbia-Towson,MD,2859024,2024
23,41180,"St. Louis, MO-IL Metro Area",St. Louis,MO-IL,2811927,2024
24,41700,"San Antonio-New Braunfels, TX Metro Area",San Antonio-New Braunfels,TX,2763006,2024
25,12420,"Austin-Round Rock-San Marcos, TX Metro Area",Austin-Round Rock-San Marcos,TX,2550637,2024
26,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",Portland-Vancouver-Hillsboro,OR-WA,2537904,2024
27,40900,"Sacramento-Roseville-Folsom, CA Metro Area",Sacramento-Roseville-Folsom,CA,2463127,2024
28,38300,"Pittsburgh, PA Metro Area",Pittsburgh,PA,2429917,2024
29,29820,"Las Vegas-Henderson-North Las Vegas, NV Metro Area",Las Vegas-Henderson-North Las Vegas,NV,2398871,2024
30,17140,"Cincinnati, OH-KY-IN Metro Area",Cincinnati,OH-KY-IN,2302815,2024
31,28140,"Kansas City, MO-KS Metro Area",Kansas City,MO-KS,2253579,2024
32,18140,"Columbus, OH Metro Area",Columbus,OH,2225377,2024
33,26900,"Indianapolis-Carmel-Greenwood, IN Metro Area",Indianapolis-Carmel-Greenwood,IN,2174833,2024
34,17410,"Cleveland, OH Metro Area",Cleveland,OH,2171877,2024
35,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",Nashville-Davidson--Murfreesboro--Franklin,TN,2150553,2024
36,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",San Jose-Sunnyvale-Santa Clara,CA,1995484,2024
37,47260,"Virginia Beach-Chesapeake-Norfolk, VA-NC Metro Area",Virginia Beach-Chesapeake-Norfolk,VA-NC,1794278,2024
38,27260,"Jacksonville, FL Metro Area",Jacksonville,FL,1760548,2024
39,39300,"Providence-Warwick, RI-MA Metro Area",Providence-Warwick,RI-MA,1700901,2024
40,33340,"Milwaukee-Waukesha, WI Metro Area",Milwaukee-Waukesha,WI,1574452,2024
41,39580,"Raleigh-Cary, NC Metro Area",Raleigh-Cary,NC,1562009,2024
42,36420,"Oklahoma City, OK Metro Area",Oklahoma City,OK,1497821,2024
43,31140,"Louisville/Jefferson County, KY-IN Metro Area",Louisville/Jefferson County,KY-IN,1394234,2024
44,40060,"Richmond, VA Metro Area",Richmond,VA,1370165,2024
45,32820,"Memphis, TN-MS-AR Metro Area",Memphis,TN-MS-AR,1339345,2024
46,41620,"Salt Lake City-Murray, UT Metro Area",Salt Lake City-Murray,UT,1300762,2024
47,13820,"Birmingham, AL Metro Area",Birmingham,AL,1192583,2024
48,23420,"Fresno, CA Metro Area",Fresno,CA,1189557,2024
49,24340,"Grand Rapids-Wyoming-Kentwood, MI Metro Area",Grand Rapids-Wyoming-Kentwood,MI,1178826,2024
50,25540,"Hartford-West Hartford-East Hartford, CT Metro Area",Hartford-West Hartford-East Hartford,CT,1169048,2024
51,15380,"Buffalo-Cheektowaga, NY Metro Area",Buffalo-Cheektowaga,NY,1160172,2024
52,46060,"Tucson, AZ Metro Area",Tucson,AZ,1080149,2024
53,46140,"Tulsa, OK Metro Area",Tulsa,OK,1059803,2024
54,40380,"Rochester, NY Metro Area",Rochester,NY,1057218,2024
55,36540,"Omaha, NE-IA Metro Area",Omaha,NE-IA,1001010,2024
56,46520,"Urban Honolulu, HI Metro Area",Urban Honolulu,HI,998747,2024
57,24860,"Greenville-Anderson-Greer, SC Metro Area",Greenville-Anderson-Greer,SC,996680,2024
58,14860,"Bridgeport-Stamford-Danbury, CT Metro Area",Bridgeport-Stamford-Danbury,CT,972679,2024
59,35380,"New Orleans-Metairie, LA Metro Area",New Orleans-Metairie,LA,966230,2024
60,28940,"Knoxville, TN Metro Area",Knoxville,TN,957608,2024
61,35840,"North Port-Bradenton-Sarasota, FL Metro Area",North Port-Bradenton-Sarasota,FL,934956,2024
62,10740,"Albuquerque, NM Metro Area",Albuquerque,NM,926303,2024
63,12540,"Bakersfield-Delano, CA Metro Area",Bakersfield-Delano,CA,922529,2024
64,32580,"McAllen-Edinburg-Mission, TX Metro Area",McAllen-Edinburg-Mission,TX,914820,2024
65,10580,"Albany-Schenectady-Troy, NY Metro Area",Albany-Schenectady-Troy,NY,913485,2024
66,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",Allentown-Bethlehem-Easton,PA-NJ,886418,2024
67,12940,"Baton Rouge, LA Metro Area",Baton Rouge,LA,882652,2024
68,49340,"Worcester, MA Metro Area",Worcester,MA,881248,2024
69,21340,"El Paso, TX Metro Area",El Paso,TX,879392,2024
70,17900,"Columbia, SC Metro Area",Columbia,SC,870193,2024
71,16700,"Charleston-North Charleston, SC Metro Area",Charleston-North Charleston,SC,869940,2024
72,15980,"Cape Coral-Fort Myers, FL Metro Area",Cape Coral-Fort Myers,FL,860959,2024
73,29460,"Lakeland-Winter Haven, FL Metro Area",Lakeland-Winter Haven,FL,852878,2024
74,14260,"Boise City, ID Metro Area",Boise City,ID,845877,2024
75,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",Oxnard-Thousand Oaks-Ventura,CA,835427,2024
76,19430,"Dayton-Kettering-Beavercreek, OH Metro Area",Dayton-Kettering-Beavercreek,OH,821740,2024
77,44700,"Stockton-Lodi, CA Metro Area",Stockton-Lodi,CA,816108,2024
78,24660,"Greensboro-High Point, NC Metro Area",Greensboro-High Point,NC,800722,2024
79,17820,"Colorado Springs, CO Metro Area",Colorado Springs,CO,777634,2024
80,30780,"Little Rock-North Little Rock-Conway, AR Metro Area",Little Rock-North Little Rock-Conway,AR,769258,2024
81,39340,"Provo-Orem-Lehi, UT Metro Area",Provo-Orem-Lehi,UT,760531,2024
82,19780,"Des Moines-West Des Moines, IA Metro Area",Des Moines-West Des Moines,IA,753913,2024
83,19660,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area",Deltona-Daytona Beach-Ormond Beach,FL,739516,2024
84,28880,"Kiryas Joel-Poughkeepsie-Newburgh, NY Metro Area",Kiryas Joel-Poughkeepsie-Newburgh,NY,711730,2024
85,31540,"Madison, WI Metro Area",Madison,WI,707606,2024
86,49180,"Winston-Salem, NC Metro Area",Winston-Salem,NC,705187,2024
87,10420,"Akron, OH Metro Area",Akron,OH,702209,2024
88,36260,"Ogden, UT Metro Area",Ogden,UT,667681,2024
89,48620,"Wichita, KS Metro Area",Wichita,KS,661217,2024
